epoch,train_loss,train_acc1,train_acc2,valid_xe_loss,valid_acc1,valid_acc2
0,6.849201202392578,0.0,0.0,6.703696250915527,0.0,0.0
1,6.9059929847717285,0.0,0.0,6.69580602645874,0.0,0.0
2,6.8853583335876465,0.0,0.0,6.687802314758301,0.0,0.0
3,6.898094654083252,0.0,0.0,6.679694652557373,0.0,0.0
4,6.875782489776611,0.0,0.0,6.671521186828613,0.0,0.0
5,6.861828327178955,0.0,0.0,6.663245677947998,0.0,0.0
6,6.771808624267578,0.0,0.0,6.65486478805542,0.0,0.0
7,6.803093433380127,0.0,0.0,6.646418571472168,0.0,0.0
8,6.84794807434082,0.0,0.0,6.637863636016846,0.0,0.0
9,6.852840900421143,0.0,0.0,6.629213333129883,0.0,0.0
10,6.795526027679443,0.0,0.0,6.620489597320557,0.0,0.0
11,6.7987823486328125,0.0,0.0,6.611668109893799,0.0,0.0
12,6.737661361694336,0.0,0.0,6.602752208709717,0.0,0.0
13,6.751415729522705,0.0,0.0,6.593770980834961,0.0,0.0
14,6.727949619293213,0.0,0.0,6.584690093994141,0.0,0.0
15,6.702610492706299,0.0,0.0,6.575508117675781,0.0,0.0
16,6.754605770111084,0.0,0.0,6.566245079040527,0.0,0.0
17,6.718738079071045,0.0,0.0,6.556883811950684,0.0,0.0
18,6.713778018951416,0.0,0.0,6.547418117523193,0.0,0.0
19,6.685396194458008,0.0,0.0,6.537878036499023,0.0,0.0
20,6.708618640899658,0.0,0.0,6.528250694274902,0.0,0.0
21,6.698869705200195,0.0,0.0,6.5185394287109375,0.0,0.0
22,6.6992506980896,0.0,0.0,6.508749008178711,0.0,0.0
23,6.675755023956299,0.0,0.0,6.49887228012085,0.0,0.0
24,6.65022087097168,0.0,0.0,6.488912582397461,0.0,0.0
25,6.690164089202881,0.0,0.0,6.478883266448975,0.0,0.0
26,6.65454626083374,0.0,0.0,6.468760013580322,0.0,0.0
27,6.587377071380615,0.0,0.0,6.4585490226745605,0.0,0.0
28,6.632740497589111,0.0,0.0,6.448270320892334,0.0,0.0
29,6.631191253662109,0.0,0.0,6.437903881072998,0.0,0.0
30,6.578731536865234,0.0,0.0,6.427457809448242,0.0,0.0
31,6.558970928192139,0.0,0.0,6.416915416717529,0.0,0.0
32,6.582685470581055,0.0,0.0,6.406292915344238,0.0,0.0
33,6.5252814292907715,0.0,0.0,6.395578384399414,0.0,0.0
34,6.573780059814453,0.0,0.0,6.384770393371582,0.0,0.0
35,6.5727620124816895,0.0,0.0,6.373895645141602,0.0,0.0
36,6.540653705596924,0.0,0.0,6.362936973571777,0.0,0.0
37,6.52973747253418,0.0,0.0,6.351901531219482,0.0,0.0
38,6.523336887359619,0.0,0.0,6.340777397155762,0.0,0.0
39,6.456878662109375,0.0,0.0,6.329571723937988,0.0,0.0
40,6.482894420623779,0.0,0.0,6.318291664123535,0.0,0.0
41,6.423458576202393,0.0,0.0,6.306925296783447,0.0,0.0
42,6.4449782371521,0.0,0.0,6.295466899871826,0.0,0.0
43,6.4240288734436035,0.0,0.0,6.2839274406433105,0.0,0.0
44,6.440699100494385,0.0,0.0,6.272304058074951,0.0,0.0
45,6.384385585784912,0.0,0.0,6.260610580444336,0.0,0.0
46,6.420257091522217,0.0,0.0,6.248842239379883,0.0,0.0
47,6.388268947601318,0.0,0.0,6.236985206604004,0.0,0.0
48,6.406438827514648,0.0,0.0,6.225045204162598,0.0,0.0
49,6.3533034324646,0.0,0.0,6.21302604675293,0.0,0.0
50,6.330467700958252,0.0,0.0,6.200924396514893,0.0,0.0
51,6.3470282554626465,0.0,0.0,6.188751220703125,0.0,0.0
52,6.33466911315918,0.0,0.0,6.1765055656433105,0.0,0.0
53,6.339412212371826,0.0,0.0,6.164186000823975,0.0,0.0
54,6.329452037811279,0.0,0.0,6.151787281036377,0.0,0.0
55,6.3158698081970215,0.0,0.0,6.139325141906738,0.0,0.0
56,6.296273708343506,0.0,0.0,6.126789093017578,0.0,0.0
57,6.292679309844971,0.0,0.0,6.114174842834473,0.0,0.0
58,6.273685455322266,0.0,0.0,6.101483345031738,0.0,0.0
59,6.272213459014893,0.0,0.0,6.088710308074951,0.0,0.0
60,6.225429534912109,0.0,0.0,6.075868129730225,0.0,0.0
61,6.236999034881592,0.0,0.0,6.06296443939209,0.0,0.0
62,6.166008472442627,0.0,0.0,6.049994945526123,0.0,0.0
63,6.204818248748779,0.0,0.0,6.036937713623047,0.0,0.0
64,6.202114582061768,0.0,0.0,6.023794651031494,0.0,0.0
65,6.149198055267334,0.0,0.0,6.010578632354736,0.0,0.0
66,6.168783187866211,0.0,0.0,5.9972825050354,0.0,0.0
67,6.1429972648620605,0.0,0.0,5.9839067459106445,0.0,0.0
68,6.11058235168457,0.0,0.0,5.970466136932373,0.0,0.0
69,6.108026027679443,0.0,0.0,5.9569525718688965,0.0,0.0
70,6.100912570953369,0.0,0.0,5.943370819091797,0.0,0.0
71,6.090808868408203,0.0,0.0,5.929713726043701,0.0,0.0
72,6.073598861694336,0.0,0.0,5.915990352630615,0.0,0.0
