date,model_name,run_name,seed,generator_type,n,m,q,noise_sigma,train_equations,test_equations,orig_equations,analysis_samples,main_secret_sample_index,pqc_secret_type,dataset_dir,suggested_train_command,generator_param_clipping_bound,generator_param_function_family,generator_param_num_functions,generator_param_quantization_step,generator_param_region_count,generator_param_secret_sigma,generator_variant,target_nonzero_count,target_support_ratio,target_l1_norm,target_l2_norm,target_linf_norm,target_secret_json,analysis_secret_mean,analysis_secret_std,analysis_secret_min,analysis_secret_max,analysis_secret_abs_mean,analysis_secret_sparsity_ratio,analysis_secret_entropy,analysis_secret_pairwise_corr_mean_abs,analysis_secret_pairwise_corr_max_abs,analysis_secret_cov_trace,analysis_secret_effective_rank,analysis_secret_condition_number,analysis_secret_symmetry_gap,analysis_secret_bucket_balance_score,analysis_secret_repeat_pattern_score,analysis_secret_neighbor_distance_mean,analysis_secret_neighbor_distance_std,analysis_secret_centroid_distance_mean,orig_secret_recovery_l2_error,orig_secret_recovery_relative_l2_error,orig_secret_recovery_cosine_similarity,orig_secret_recovery_coord_acc,orig_secret_recovery_sign_acc,orig_secret_recovery_bucket_acc,train_secret_recovery_l2_error,train_secret_recovery_relative_l2_error,train_secret_recovery_cosine_similarity,train_secret_recovery_coord_acc,train_secret_recovery_sign_acc,train_secret_recovery_bucket_acc,orig_effective_noise_std,train_effective_noise_std,test_effective_noise_std,generator_param_beta_max,generator_param_beta_min,generator_param_boundary_base,generator_param_boundary_jitter,generator_param_family_count,generator_param_quantizer_count,generator_param_score_count,generator_param_setup_eval_samples,generator_param_style_count,generator_param_temperature_max,generator_param_temperature_min,coordinates_generated_independently,setup_region_occupancy_counts_json,setup_region_occupancy_entropy,initial_region_balance_counts_json,initial_region_balance_entropy,region_lattice_counts_json,region_lattice_entropy,pre_normalization_cov_diag_mean,pre_normalization_cov_diag_std,pre_normalization_cov_diag_min,pre_normalization_cov_diag_max,post_normalization_cov_diag_mean,post_normalization_cov_diag_std,post_normalization_cov_diag_min,post_normalization_cov_diag_max,pre_whitening_cov_diag_mean,pre_whitening_cov_diag_std,pre_whitening_cov_diag_min,pre_whitening_cov_diag_max,post_whitening_cov_diag_mean,post_whitening_cov_diag_std,post_whitening_cov_diag_min,post_whitening_cov_diag_max,whitening_condition_number,orthogonal_mixing_seed,structure_seed_offset,orthogonal_seed_offset,signed_permutation_seed,alpha,beta,gamma,map_scale,offset_scale,quantization_mode,noise_injection_mode,within_region_sigma,uniform_region_mix,boundary_focus_mix,boundary_temperature,shell_balance_mix,region_sampling_mode,implied_prior_effective_rank,implied_prior_pairwise_corr_mean_abs,implied_prior_abs_mean,implied_prior_boundary_margin_mean,coordinate_region_boundaries_json,coordinate_region_count_json,coordinate_style_assignments_json,coordinate_style_counts_json,coordinate_score_family_json,function_family_per_coordinate_json,region_function_family_nested_json,quantizer_type_per_coordinate_json,quantizer_counts_json,score_counts_json,soft_region_temperature_json,coefficient_a_summary_json,coefficient_b_summary_json,coefficient_c_summary_json,coordinate_beta_json,coordinate_clipping_bounds_json,empirical_coordinate_mean_json,empirical_coordinate_variance_json,empirical_coordinate_entropy_json,setup_fraction_clipped_coordinates,average_occupied_quantization_levels,samplewise_occupied_quantization_levels_mean,per_coordinate_occupied_levels_json,style_group_distribution_summary_json,symmetry_bin_gap_json,setup_coordinate_variance_trace,setup_total_coordinate_draws,sample_avg_abs_after_quantization_mean,sample_avg_abs_after_quantization_std,sample_avg_abs_after_quantization_min,sample_avg_abs_after_quantization_max,sample_avg_abs_before_quantization_mean,sample_avg_abs_before_quantization_std,sample_avg_abs_before_quantization_min,sample_avg_abs_before_quantization_max,sample_fraction_clipped_coordinates_mean,sample_fraction_clipped_coordinates_std,sample_fraction_clipped_coordinates_min,sample_fraction_clipped_coordinates_max,sample_occupied_quantization_levels_mean,sample_occupied_quantization_levels_std,sample_occupied_quantization_levels_min,sample_occupied_quantization_levels_max,sample_region_boundary_margin_mean,sample_region_boundary_margin_std,sample_region_boundary_margin_min,sample_region_boundary_margin_max,sample_region_counts_vector_json
2026-04-02T10:34:02.178081+00:00,baseline_lwe,baseline_lwe_run_1,2027,baseline,8,32,97,1.0,128,64,32,32,0,ternary,/home/wza/Zero_ relation/hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/baseline_lwe_run_1,".\.venv\Scripts\python.exe PQC_salsa\train.py --cpu true --reload_data ""hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/baseline_lwe_run_1"" --hamming 2 --secret_seed 0 --batch_size 128 --epoch_size 1024 --max_epoch 5 --num_workers 0 --eval_size 128",2,baseline_discrete_gaussian,0,1.0,0,1.0,baseline_discrete_gaussian,2,0.25,2.0,1.4142135623730951,1.0,"[-1, 0, 0, 0, 0, 0, 1, 0]",0.0390625,0.9593482793510134,-2.0,2.0,0.671875,0.453125,1.9631172550575302,0.1393077678740002,0.4210097965337886,7.427419354838709,7.021004417217235,7.8551879843931,0.01171875,0.8454685825043181,0.03125,2.433122680310512,0.4167301555666309,2.612592661076428,3.872983346207417,2.7386127875258306,0.0,0.5,0.625,0.5,3.1622776601683795,2.23606797749979,0.40824829046386296,0.5,0.625,0.5,1.1105847277448038,1.0383279828647594,0.9331932326024445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02T10:34:02.637635+00:00,proposed_final,proposed_final_run_1,2027,proposed,8,32,97,1.0,128,64,32,32,0,ternary,/home/wza/Zero_ relation/hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/proposed_final_run_1,".\.venv\Scripts\python.exe PQC_salsa\train.py --cpu true --reload_data ""hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/proposed_final_run_1"" --hamming 5 --secret_seed 0 --batch_size 128 --epoch_size 1024 --max_epoch 5 --num_workers 0 --eval_size 128",4,coordinatewise_meta_heterogeneous_soft_region_scalar,1,,4,,coordinatewise_meta_heterogeneous_soft_region_generator,5,0.625,5.0,2.23606797749979,1.0,"[-1, -1, 0, -1, 0, 1, 1, 0]",0.1015625,0.8912758038866252,-2.0,3.0,0.6328125,0.44921875,1.878537925003288,0.1285724262049117,0.42308950889829017,6.358870967741935,6.380951032609962,9.277011081682884,0.0185546875,0.6746060195398847,0.03125,2.2305449295416704,0.344121079412385,2.4086711247684334,6.782329983125268,3.03315017762062,-0.3113995776646092,0.125,0.125,0.125,6.0,2.6832815729997477,0.0778498944161523,0.5,0.625,0.5,1.1105847277448038,1.0383279828647594,0.9331932326024445,0.12,0.04,0.9,0.18,6.0,4.0,6.0,2048.0,6.0,2.4,1.35,True,"[2387, 5899, 4705, 3393]",1.922849075605819,"[3446, 4746, 4746, 3446]",1.9817444832291466,,,0.886030934179592,0.45515010178757076,0.27840952460918417,1.5221808973497801,,,,,0.886030934179592,0.45515010178757076,0.27840952460918417,1.5221808973497801,,,,,,,,,,,0.06327855040111557,,,,coordinatewise_randomized_bounded_quantization,coordinatewise_light_ternary_dither,,,,1.7772154974757022,,soft_scalar_regions,,,,,"[[0.0, 0.562934, 1.225388, 2.015782], [0.0, 0.649278, 1.317044, 2.114791], [0.0, 0.697179, 1.341677, 1.973926, 2.680037], [0.0, 0.478793, 0.947168, 1.402553, 1.927617], [0.0, 0.621851, 1.492906], [0.0, 0.686765, 1.413724, 2.177644], [0.0, 0.617751, 1.256372, 1.920441, 2.694422], [0.0, 0.648181, 1.704268]]","[6, 6, 8, 8, 4, 6, 8, 4]","[""heavy_tail_like"", ""sparse_like"", ""flat_like"", ""centered_smooth"", ""bimodal_like"", ""centered_smooth"", ""heavy_tail_like"", ""region_piecewise_like""]","{""bimodal_like"": 1, ""centered_smooth"": 2, ""flat_like"": 1, ""heavy_tail_like"": 2, ""region_piecewise_like"": 1, ""sparse_like"": 1}","[""gaussian_rbf"", ""gaussian_rbf"", ""cauchy_log"", ""laplace_rbf"", ""cosine_window"", ""polynomial_bump"", ""cauchy_log"", ""triangular_window""]","[""odd_cubic|piecewise_polynomial|sinusoidal_perturbation"", ""tanh_based|odd_clipped_quadratic|piecewise_polynomial"", ""piecewise_polynomial|sinusoidal_perturbation|odd_cubic|odd_clipped_quadratic"", ""tanh_based|piecewise_polynomial|sinusoidal_perturbation|odd_cubic"", ""smooth_staircase_like|odd_clipped_quadratic"", ""smooth_staircase_like|odd_cubic|sinusoidal_perturbation"", ""odd_cubic|piecewise_polynomial|tanh_based|smooth_staircase_like"", ""sinusoidal_perturbation|odd_clipped_quadratic""]","[[""odd_cubic"", ""piecewise_polynomial"", ""sinusoidal_perturbation""], [""tanh_based"", ""odd_clipped_quadratic"", ""piecewise_polynomial""], [""piecewise_polynomial"", ""sinusoidal_perturbation"", ""odd_cubic"", ""odd_clipped_quadratic""], [""tanh_based"", ""piecewise_polynomial"", ""sinusoidal_perturbation"", ""odd_cubic""], [""smooth_staircase_like"", ""odd_clipped_quadratic""], [""smooth_staircase_like"", ""odd_cubic"", ""sinusoidal_perturbation""], [""odd_cubic"", ""piecewise_polynomial"", ""tanh_based"", ""smooth_staircase_like""], [""sinusoidal_perturbation"", ""odd_clipped_quadratic""]]","[""random_threshold"", ""dithered_floor"", ""dithered_floor"", ""stochastic_rounding"", ""stochastic_rounding"", ""random_deadzone_round"", ""random_deadzone_round"", ""random_threshold""]","{""dithered_floor"": 2, ""random_deadzone_round"": 2, ""random_threshold"": 2, ""stochastic_rounding"": 2}","{""cauchy_log"": 2, ""cosine_window"": 1, ""gaussian_rbf"": 2, ""laplace_rbf"": 1, ""polynomial_bump"": 1, ""triangular_window"": 1}","[2.08694, 1.748034, 1.786614, 1.48307, 1.511143, 1.902065, 1.624042, 2.075816]","{""max"": 1.007294276901792, ""mean"": 0.7103936354523986, ""min"": 0.34808780956955293, ""std"": 0.21957872921017066}","{""max"": 0.7141103840367509, ""mean"": 0.4402119079372533, ""min"": 0.13421932125684702, ""std"": 0.17870829518298564}","{""max"": 2.5928477618795496, ""mean"": 1.563350962863923, ""min"": 0.7058237030764136, ""std"": 0.47713614843126134}","[0.046172, 0.083713, 0.050884, 0.059571, 0.068591, 0.048938, 0.078104, 0.070255]","[3, 4, 3, 4, 3, 4, 4, 3]","[0.01416, -0.006836, -0.012695, -0.036133, 0.006836, -0.013184, 0.02002, -0.158691]","[0.847944, 0.278274, 0.587729, 1.360999, 1.521438, 0.51008, 1.438564, 0.539758]","[1.767098, 1.131351, 1.606861, 2.215298, 2.270033, 1.509705, 2.267417, 1.560589]",0.00018310546875,5.5,3.42333984375,"[7, 3, 5, 7, 6, 3, 8, 5]","{""bimodal_like"": {""abs_mean"": 0.9921875, ""coordinate_count"": 1.0, ""entropy_mean"": 2.2700327723455964, ""occupied_levels_mean"": 6.0, ""variance_mean"": 1.521437644958496}, ""centered_smooth"": {""abs_mean"": 0.732177734375, ""coordinate_count"": 2.0, ""entropy_mean"": 1.862501351240936, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.9355396032333374}, ""flat_like"": {""abs_mean"": 0.57421875, ""coordinate_count"": 1.0, ""entropy_mean"": 1.606860880307381, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.5877294540405273}, ""heavy_tail_like"": {""abs_mean"": 0.85986328125, ""coordinate_count"": 2.0, ""entropy_mean"": 2.0172576676669833, ""occupied_levels_mean"": 7.5, ""variance_mean"": 1.143254041671753}, ""region_piecewise_like"": {""abs_mean"": 0.55029296875, ""coordinate_count"": 1.0, ""entropy_mean"": 1.5605888840750564, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.5397584438323975}, ""sparse_like"": {""abs_mean"": 0.2783203125, ""coordinate_count"": 1.0, ""entropy_mean"": 1.1313511970517036, ""occupied_levels_mean"": 3.0, ""variance_mean"": 0.2782735824584961}}","{""1"": 0.02374267578125, ""2"": 6.103515625e-05, ""3"": 0.00018310546875, ""4"": 6.103515625e-05}",7.088247473436736,16384.0,0.6328125,0.21636535037697233,0.25,1.125,0.663297232494511,0.16681309723655433,0.24293324048132636,0.9523088999855717,0.0,0.0,0.0,0.0,3.125,0.7806247497997998,2.0,5.0,0.3409958623694366,0.1273762571024577,0.04460057991320674,0.6701746947201788,"[[0, 5, 3, 0], [1, 4, 3, 0], [1, 1, 4, 2], [1, 4, 3, 0], [1, 6, 0, 1], [3, 3, 1, 1], [1, 3, 4, 0], [1, 4, 1, 2], [0, 3, 3, 2], [1, 3, 3, 1], [0, 3, 4, 1], [2, 4, 2, 0], [0, 1, 5, 2], [1, 1, 4, 2], [1, 1, 4, 2], [0, 3, 2, 3], [0, 1, 6, 1], [1, 1, 3, 3], [0, 1, 4, 3], [0, 2, 2, 4], [2, 3, 0, 3], [0, 3, 4, 1], [0, 1, 4, 3], [1, 3, 2, 2], [0, 3, 3, 2], [1, 5, 2, 0], [1, 4, 1, 2], [1, 3, 3, 1], [0, 1, 3, 4], [1, 1, 2, 4], [3, 3, 2, 0], [0, 6, 2, 0]]"
2026-04-02T10:34:02.641282+00:00,baseline_lwe,baseline_lwe_run_2,2041,baseline,8,32,97,1.0,128,64,32,32,0,ternary,/home/wza/Zero_ relation/hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/baseline_lwe_run_2,".\.venv\Scripts\python.exe PQC_salsa\train.py --cpu true --reload_data ""hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/baseline_lwe_run_2"" --hamming 6 --secret_seed 0 --batch_size 128 --epoch_size 1024 --max_epoch 5 --num_workers 0 --eval_size 128",2,baseline_discrete_gaussian,0,1.0,0,1.0,baseline_discrete_gaussian,6,0.75,6.0,2.449489742783178,1.0,"[0, -1, 1, 1, -1, -1, 0, 1]",0.09765625,1.004984829157106,-2.0,2.0,0.76953125,0.35546875,2.0339989067027497,0.18112810824667055,0.5006882315714638,8.192540322580644,6.7246654412510445,7.007216309598116,0.037109375,0.8759956482651964,0.03125,2.5254762626872767,0.3914328123741123,2.7505886288051533,3.1622776601683795,1.2909944487358058,0.0,0.125,0.125,0.125,4.69041575982343,1.9148542155126764,-0.5773502691896258,0.25,0.25,0.25,0.899218410621135,0.9777492788766198,1.0522251348333207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02T10:34:03.146207+00:00,proposed_final,proposed_final_run_2,2041,proposed,8,32,97,1.0,128,64,32,32,0,gaussian,/home/wza/Zero_ relation/hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/proposed_final_run_2,".\.venv\Scripts\python.exe PQC_salsa\train.py --cpu true --reload_data ""hyper_pqc_salsa_bridge/outputs/quick_bridge/datasets/proposed_final_run_2"" --hamming 4 --secret_seed 0 --batch_size 128 --epoch_size 1024 --max_epoch 5 --num_workers 0 --eval_size 128",4,coordinatewise_meta_heterogeneous_soft_region_scalar,1,,4,,coordinatewise_meta_heterogeneous_soft_region_generator,4,0.5,5.0,2.6457513110645907,2.0,"[0, -2, 1, 0, -1, -1, 0, 0]",0.0703125,0.8166585286052855,-2.0,2.0,0.59375,0.4453125,1.7383727168106595,0.14787606945980938,0.3911591293589789,5.39516129032258,6.610566039892544,9.545220190721077,0.0234375,0.662413706024055,0.03125,2.044981581139388,0.4393749341970339,2.2234301563937424,4.242640687119285,1.6035674514745462,0.0,0.5,0.5,0.5,5.291502622129181,2.0,0.0,0.125,0.125,0.125,0.899218410621135,0.9777492788766198,1.0522251348333207,0.12,0.04,0.9,0.18,6.0,4.0,6.0,2048.0,6.0,2.4,1.35,True,"[2237, 5918, 5078, 3151]",1.9040673093109632,"[3159, 5033, 5033, 3159]",1.9619303175564018,,,0.6699792724967177,0.19817385172855792,0.32633121641426477,0.990657059110894,,,,,0.6699792724967177,0.19817385172855792,0.32633121641426477,0.990657059110894,,,,,,,,,,,0.08155929958470468,,,,coordinatewise_randomized_bounded_quantization,coordinatewise_light_ternary_dither,,,,1.668788176765014,,soft_scalar_regions,,,,,"[[0.0, 0.870172, 2.23382], [0.0, 0.606711, 1.244485, 1.897874], [0.0, 0.539285, 1.095061, 1.645056, 2.282478], [0.0, 0.664968, 1.311331, 1.930206, 2.58985], [0.0, 0.626753, 1.199262, 1.776104, 2.420675], [0.0, 0.716875, 1.455923, 2.258203], [0.0, 0.776399, 1.939775], [0.0, 0.594363, 1.161134, 1.763858]]","[4, 6, 8, 8, 8, 6, 4, 6]","[""heavy_tail_like"", ""region_piecewise_like"", ""centered_smooth"", ""flat_like"", ""centered_smooth"", ""heavy_tail_like"", ""bimodal_like"", ""sparse_like""]","{""bimodal_like"": 1, ""centered_smooth"": 2, ""flat_like"": 1, ""heavy_tail_like"": 2, ""region_piecewise_like"": 1, ""sparse_like"": 1}","[""gaussian_rbf"", ""triangular_window"", ""cosine_window"", ""cauchy_log"", ""laplace_rbf"", ""gaussian_rbf"", ""polynomial_bump"", ""cauchy_log""]","[""piecewise_polynomial|odd_cubic"", ""sinusoidal_perturbation|odd_cubic|tanh_based"", ""piecewise_polynomial|smooth_staircase_like|tanh_based|odd_cubic"", ""odd_cubic|smooth_staircase_like|sinusoidal_perturbation|tanh_based"", ""odd_cubic|sinusoidal_perturbation|tanh_based|odd_clipped_quadratic"", ""odd_cubic|sinusoidal_perturbation|smooth_staircase_like"", ""sinusoidal_perturbation|smooth_staircase_like"", ""sinusoidal_perturbation|smooth_staircase_like|piecewise_polynomial""]","[[""piecewise_polynomial"", ""odd_cubic""], [""sinusoidal_perturbation"", ""odd_cubic"", ""tanh_based""], [""piecewise_polynomial"", ""smooth_staircase_like"", ""tanh_based"", ""odd_cubic""], [""odd_cubic"", ""smooth_staircase_like"", ""sinusoidal_perturbation"", ""tanh_based""], [""odd_cubic"", ""sinusoidal_perturbation"", ""tanh_based"", ""odd_clipped_quadratic""], [""odd_cubic"", ""sinusoidal_perturbation"", ""smooth_staircase_like""], [""sinusoidal_perturbation"", ""smooth_staircase_like""], [""sinusoidal_perturbation"", ""smooth_staircase_like"", ""piecewise_polynomial""]]","[""random_deadzone_round"", ""dithered_floor"", ""stochastic_rounding"", ""dithered_floor"", ""stochastic_rounding"", ""random_threshold"", ""random_threshold"", ""random_deadzone_round""]","{""dithered_floor"": 2, ""random_deadzone_round"": 2, ""random_threshold"": 2, ""stochastic_rounding"": 2}","{""cauchy_log"": 2, ""cosine_window"": 1, ""gaussian_rbf"": 2, ""laplace_rbf"": 1, ""polynomial_bump"": 1, ""triangular_window"": 1}","[1.555098, 1.419464, 1.876725, 1.973318, 1.535777, 1.825387, 1.758598, 1.405939]","{""max"": 0.9937857528555079, ""mean"": 0.6486843222031013, ""min"": 0.36055273336167387, ""std"": 0.19468624660432648}","{""max"": 0.6918437004398573, ""mean"": 0.36681755888876244, ""min"": 0.1373936311329235, ""std"": 0.1439508098685431}","{""max"": 2.443804039817593, ""mean"": 1.4748194635673795, ""min"": 0.8064650658275687, ""std"": 0.48679476210979433}","[0.061884, 0.084263, 0.093398, 0.098032, 0.073059, 0.085012, 0.060143, 0.096684]","[3, 4, 4, 2, 3, 2, 3, 3]","[-0.015625, -0.007812, -0.00293, -0.000977, 0.012207, -0.062988, -0.077637, 0.0]","[0.533936, 0.990173, 0.588859, 0.561522, 0.691746, 0.871521, 0.793289, 0.326172]","[1.577449, 2.009199, 1.643817, 1.56763, 1.752583, 1.882417, 1.780505, 1.238343]",0.00067138671875,5.375,3.10400390625,"[7, 6, 5, 5, 5, 5, 5, 5]","{""bimodal_like"": {""abs_mean"": 0.72607421875, ""coordinate_count"": 1.0, ""entropy_mean"": 1.7805054594135936, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.7932889461517334}, ""centered_smooth"": {""abs_mean"": 0.589111328125, ""coordinate_count"": 2.0, ""entropy_mean"": 1.6982000115348592, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.6403020620346069}, ""flat_like"": {""abs_mean"": 0.556640625, ""coordinate_count"": 1.0, ""entropy_mean"": 1.5676299322218883, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.5615224838256836}, ""heavy_tail_like"": {""abs_mean"": 0.590576171875, ""coordinate_count"": 2.0, ""entropy_mean"": 1.7299332222717467, ""occupied_levels_mean"": 6.0, ""variance_mean"": 0.7027281522750854}, ""region_piecewise_like"": {""abs_mean"": 0.7763671875, ""coordinate_count"": 1.0, ""entropy_mean"": 2.009199210139496, ""occupied_levels_mean"": 6.0, ""variance_mean"": 0.99017333984375}, ""sparse_like"": {""abs_mean"": 0.3095703125, ""coordinate_count"": 1.0, ""entropy_mean"": 1.238343186847637, ""occupied_levels_mean"": 5.0, ""variance_mean"": 0.326171875}}","{""1"": 0.0023193359375, ""2"": 0.0086669921875, ""3"": 6.103515625e-05, ""4"": 0.0}",5.359834179973742,16384.0,0.59375,0.19008632907181935,0.25,1.0,0.6219339261375543,0.12777553819482662,0.3985399976610779,0.827705528750128,0.0,0.0,0.0,0.0,3.1875,0.5266343608235224,2.0,4.0,0.34959088696890334,0.10832049316506745,0.1851387751593394,0.6027283373271644,"[[0, 4, 3, 1], [1, 3, 3, 1], [2, 3, 2, 1], [1, 2, 4, 1], [1, 3, 4, 0], [0, 2, 3, 3], [1, 2, 3, 2], [1, 1, 4, 2], [3, 2, 0, 3], [2, 3, 2, 1], [0, 3, 3, 2], [0, 1, 5, 2], [0, 5, 2, 1], [0, 2, 5, 1], [0, 3, 5, 0], [0, 3, 4, 1], [1, 2, 3, 2], [1, 4, 2, 1], [0, 3, 3, 2], [2, 3, 2, 1], [0, 3, 2, 3], [0, 6, 1, 1], [0, 4, 2, 2], [1, 1, 5, 1], [0, 2, 2, 4], [3, 2, 2, 1], [1, 3, 2, 2], [2, 0, 3, 3], [0, 4, 3, 1], [0, 4, 3, 1], [1, 2, 3, 2], [0, 3, 3, 2]]"
