epoch,train_loss,train_acc1,train_acc2,valid_xe_loss,valid_acc1,valid_acc2
0,6.891819477081299,0.0,0.0,6.88029146194458,0.0,0.0
1,6.8974761962890625,0.0,0.0,6.872479438781738,0.0,0.0
2,6.908539295196533,0.0,0.0,6.86456298828125,0.0,0.0
3,6.87231969833374,0.0,0.0,6.856541156768799,0.0,0.0
4,6.857565402984619,0.0,0.0,6.848447322845459,0.0,0.0
5,6.844724655151367,0.0,0.0,6.840266227722168,0.0,0.0
6,6.850855350494385,0.0,0.0,6.831979751586914,0.0,0.0
7,6.846510410308838,0.0,0.0,6.823630332946777,0.0,0.0
8,6.829763889312744,0.0,0.0,6.815173149108887,0.0,0.0
9,6.854206562042236,0.0,0.0,6.806619644165039,0.0,0.0
10,6.839317321777344,0.0,0.0,6.798001289367676,0.0,0.0
11,6.803491592407227,0.0,0.0,6.789285182952881,0.0,0.0
12,6.799414157867432,0.0,0.0,6.780467510223389,0.0,0.0
13,6.780177593231201,0.0,0.0,6.771581172943115,0.0,0.0
14,6.780995845794678,0.0,0.0,6.76258659362793,0.0,0.0
15,6.731624126434326,0.0,0.0,6.753497123718262,0.0,0.0
16,6.779945373535156,0.0,0.0,6.7443389892578125,0.0,0.0
17,6.743345260620117,0.0,0.0,6.7350873947143555,0.0,0.0
18,6.738218307495117,0.0,0.0,6.725746154785156,0.0,0.0
19,6.748897552490234,0.0,0.0,6.7163310050964355,0.0,0.0
20,6.719192981719971,0.0,0.0,6.706811428070068,0.0,0.0
21,6.7225422859191895,0.0,0.0,6.697206974029541,0.0,0.0
22,6.7098708152771,0.0,0.0,6.687526226043701,0.0,0.0
23,6.675500392913818,0.0,0.0,6.677752494812012,0.0,0.0
24,6.6667561531066895,0.0,0.0,6.66788911819458,0.0,0.0
25,6.6874823570251465,0.0,0.0,6.657949924468994,0.0,0.0
26,6.671108722686768,0.0,0.0,6.64792013168335,0.0,0.0
27,6.680276393890381,0.0,0.0,6.63781213760376,0.0,0.0
28,6.669468402862549,0.0,0.0,6.627623081207275,0.0,0.0
29,6.636428356170654,0.0,0.0,6.617347717285156,0.0,0.0
30,6.612873077392578,0.0,0.0,6.606987953186035,0.0,0.0
31,6.612032413482666,0.0,0.0,6.596551418304443,0.0,0.0
32,6.5929694175720215,0.0,0.0,6.58603048324585,0.0,0.0
33,6.594482898712158,0.0,0.0,6.575428485870361,0.0,0.0
34,6.57520866394043,0.0,0.0,6.564738750457764,0.0,0.0
35,6.577051639556885,0.0,0.0,6.553976535797119,0.0,0.0
36,6.54646635055542,0.0,0.0,6.54312801361084,0.0,0.0
37,6.547226428985596,0.0,0.0,6.532203674316406,0.0,0.0
38,6.549388885498047,0.0,0.0,6.5211992263793945,0.0,0.0
39,6.520528316497803,0.0,0.0,6.510104656219482,0.0,0.0
40,6.532651424407959,0.0,0.0,6.498935699462891,0.0,0.0
41,6.492445468902588,0.0,0.0,6.487680435180664,0.0,0.0
42,6.492221832275391,0.0,0.0,6.476342678070068,0.0,0.0
43,6.485471248626709,0.0,0.0,6.464927673339844,0.0,0.0
44,6.466276168823242,0.0,0.0,6.453421592712402,0.0,0.0
45,6.453863143920898,0.0,0.0,6.4418463706970215,0.0,0.0
46,6.439738750457764,0.0,0.0,6.430181503295898,0.0,0.0
47,6.463337421417236,0.0,0.0,6.418431282043457,0.0,0.0
48,6.432128429412842,0.0,0.0,6.406599044799805,0.0,0.0
49,6.40397310256958,0.0,0.0,6.394680023193359,0.0,0.0
50,6.394947052001953,0.0,0.0,6.382669448852539,0.0,0.0
51,6.384318828582764,0.0,0.0,6.370587348937988,0.0,0.0
52,6.382016658782959,0.0,0.0,6.358428001403809,0.0,0.0
53,6.375634670257568,0.0,0.0,6.346194267272949,0.0,0.0
54,6.341610431671143,0.0,0.0,6.33388090133667,0.0,0.0
55,6.335299015045166,0.0,0.0,6.321498394012451,0.0,0.0
56,6.33747673034668,0.0,0.0,6.309040546417236,0.0,0.0
57,6.326089382171631,0.0,0.0,6.296529769897461,0.0,0.0
58,6.298980712890625,0.0,0.0,6.28395938873291,0.0,0.0
59,6.253795146942139,0.0,0.0,6.27133321762085,0.0,0.0
60,6.286291599273682,0.0,0.0,6.258625507354736,0.0,0.0
61,6.283170223236084,0.0,0.0,6.245831489562988,0.0,0.0
62,6.2571868896484375,0.0,0.0,6.232964038848877,0.0,0.0
63,6.239625453948975,0.0,0.0,6.220006465911865,0.0,0.0
64,6.212924957275391,0.0,0.0,6.206974983215332,0.0,0.0
65,6.189122676849365,0.0,0.0,6.193878173828125,0.0,0.0
66,6.186351299285889,0.0,0.0,6.18070650100708,0.0,0.0
67,6.163817882537842,0.0,0.0,6.167476177215576,0.0,0.0
68,6.182977199554443,0.0,0.0,6.15416955947876,0.0,0.0
69,6.154029369354248,0.0,0.0,6.140792369842529,0.0,0.0
70,6.129081726074219,0.0,0.0,6.127326011657715,0.0,0.0
71,6.126223087310791,0.0,0.0,6.113790512084961,0.0,0.0
72,6.141056537628174,0.0,0.0,6.100188732147217,0.0,0.0
73,6.063180923461914,0.0,0.0,6.0865068435668945,0.0,0.0
74,6.081844806671143,0.0,0.0,6.072745323181152,0.0,0.0
75,6.078394412994385,0.0,0.0,6.058903217315674,0.0,0.0
76,6.090461730957031,0.0,0.0,6.044999122619629,0.0,0.0
77,6.040828704833984,0.0,0.0,6.031025409698486,0.0,0.0
78,6.035274982452393,0.0,0.0,6.016985893249512,0.0,0.0
79,6.0071024894714355,0.0,0.0,6.002869129180908,0.0,0.0
80,5.989802837371826,0.0,0.0,5.988692760467529,0.0,0.0
81,5.972355365753174,0.0,0.0,5.974425792694092,0.0,0.0
82,5.970959186553955,0.0,0.0,5.960083961486816,0.0,0.0
83,5.9772257804870605,0.0,0.0,5.945688247680664,0.0,0.0
84,5.960046768188477,0.0,0.0,5.9312286376953125,0.0,0.0
85,5.941281795501709,0.0,0.0,5.916718006134033,0.0,0.0
86,5.899934768676758,0.0,0.0,5.902104377746582,0.0,0.0
87,5.889781475067139,0.0,0.0,5.887413024902344,0.0,0.0
88,5.878722667694092,0.0,0.0,5.8726606369018555,0.0,0.0
89,5.853548526763916,0.0,0.0,5.857841491699219,0.0,0.0
90,5.85679817199707,0.0,0.0,5.842966079711914,0.0,0.0
91,5.835012435913086,0.0,0.0,5.8280205726623535,0.0,0.0
92,5.820674896240234,0.0,0.0,5.8130035400390625,0.0,0.0
93,5.805566787719727,0.0,0.0,5.797917366027832,0.0,0.0
94,5.76566743850708,0.0,0.0,5.782754898071289,0.0,0.0
95,5.795227527618408,0.0,0.0,5.767538070678711,0.0,0.0
96,5.756311893463135,0.0,0.0,5.752270698547363,0.0,0.0
97,5.698496341705322,0.0,0.0,5.736928939819336,0.0,0.0
98,5.724775314331055,0.0,0.0,5.721504211425781,0.0,0.0
99,5.694450855255127,0.0,0.0,5.706023693084717,0.0,0.0
100,5.667512893676758,0.0,0.0,5.690484046936035,0.0,0.0
101,5.659463882446289,0.0,0.0,5.674875736236572,0.0,0.0
102,5.676187515258789,0.0,0.0,5.659219741821289,0.0,0.0
103,5.650059223175049,0.0,0.0,5.643492221832275,0.0,0.0
104,5.622598171234131,0.0,0.0,5.627699375152588,0.0,0.0
105,5.622188568115234,0.0,0.0,5.611851215362549,0.0,0.0
106,5.607688903808594,0.0,0.0,5.595948696136475,0.0,0.0
107,5.603832244873047,0.0,0.0,5.5799880027771,0.0,0.0
108,5.573369979858398,0.0,0.0,5.563966751098633,0.0,0.0
109,5.534951686859131,0.0,0.0,5.547887802124023,0.0,0.0
110,5.540165424346924,0.0,0.0,5.5317535400390625,0.0,0.0
111,5.519881725311279,0.0,0.0,5.515556812286377,0.0,0.0
112,5.507971286773682,0.0,0.0,5.499314308166504,0.0,0.0
113,5.485301971435547,0.0,0.0,5.4830241203308105,0.0,0.0
114,5.459867000579834,0.0,0.0,5.466689586639404,0.0,0.0
115,5.451557159423828,0.0,0.0,5.45029354095459,0.0,0.0
116,5.410897731781006,0.0,0.0,5.433824062347412,0.0,0.0
117,5.440168380737305,0.0,0.0,5.417296886444092,0.0,0.0
118,5.414458751678467,0.0,0.0,5.400710582733154,0.0,0.0
