epoch,train_loss,train_acc1,train_acc2,valid_xe_loss,valid_acc1,valid_acc2
0,6.481528749891147,0.0,0.0,5.867005806934984,0.0,0.0
1,4.840165725938833,0.0,0.0,3.684247677839255,0.0,0.0
2,2.7901370540546004,0.0,3.1349522292993632,2.1464225974264024,0.0,6.536787974683544
3,1.9421929371584752,12.350716560509554,17.824442675159236,1.8077102160152,15.140427215189874,20.96518987341772
4,1.7479411887515122,15.306528662420382,21.13355891719745,1.701879819737205,15.95134493670886,21.42009493670886
5,1.680766711569136,15.316480891719745,20.591162420382165,1.6601382961756066,16.317246835443036,21.696993670886076
6,1.650391552858292,15.381170382165605,20.810111464968152,1.6407702286032182,16.27768987341772,21.62776898734177
7,1.63537325980557,15.381170382165605,20.924562101910826,1.6299673635748368,16.317246835443036,21.647547468354432
8,1.6262944815265146,15.450835987261147,20.904657643312103,1.6246386902241767,14.784414556962025,20.63884493670886
9,1.6212294450990714,15.928542993630574,21.12360668789809,1.6149373401569416,15.120648734177216,20.579509493670887
10,1.594519914335506,18.91421178343949,23.979896496815286,1.573922791058504,20.342167721518987,25.632911392405063
11,1.5646060052191375,23.07424363057325,28.05533439490446,1.559756814679013,22.517800632911392,27.571202531645568
12,1.5585604488469993,22.641321656050955,27.627388535031848,1.557509413248376,22.962816455696203,28.32278481012658
13,1.5597787153948643,22.85529458598726,27.920979299363058,1.5545215319983567,23.823180379746834,28.886471518987342
