seed,coord,secret_value,support,mutual_information,abs_corr
0,0,-3,1,2.1181293601263986,0.22930944034921472
0,1,2,1,2.06699791447467,0.1365085083352233
0,2,0,0,1.962401551753287,0.13824462051626668
0,3,0,0,2.119324556313796,0.2665207791816922
0,4,6,1,2.246196960097566,0.17073005248695922
