secret_seed,decrypt_success_rate,secret_l2_norm,secret_linf_norm,mean_abs_public_error
0,0.33984375,3.1622776601683795,1.0,2.466666666666667
1,0.7265625,3.1622776601683795,1.0,2.3916666666666666
2,0.76953125,3.1622776601683795,1.0,2.3666666666666667
3,0.9296875,3.1622776601683795,1.0,2.45
4,0.83984375,3.1622776601683795,1.0,2.466666666666667
5,0.8671875,3.1622776601683795,1.0,2.25
6,0.91015625,3.1622776601683795,1.0,2.325
7,0.92578125,3.1622776601683795,1.0,2.341666666666667
8,0.95703125,3.1622776601683795,1.0,2.4166666666666665
9,0.9453125,3.1622776601683795,1.0,2.308333333333333
10,0.9296875,3.1622776601683795,1.0,2.316666666666667
11,0.62109375,3.1622776601683795,1.0,2.558333333333333
12,0.88671875,3.1622776601683795,1.0,2.35
13,0.5546875,3.1622776601683795,1.0,2.066666666666667
14,0.94921875,3.1622776601683795,1.0,2.316666666666667
15,0.9609375,3.1622776601683795,1.0,2.2583333333333333
16,0.76171875,3.1622776601683795,1.0,2.4166666666666665
17,0.87890625,3.1622776601683795,1.0,2.4
18,0.953125,3.1622776601683795,1.0,2.175
19,0.8671875,3.1622776601683795,1.0,2.575
20,0.90234375,3.1622776601683795,1.0,2.433333333333333
21,0.81640625,3.1622776601683795,1.0,2.7583333333333333
22,0.92578125,3.1622776601683795,1.0,2.341666666666667
23,0.8984375,3.1622776601683795,1.0,2.4166666666666665
24,0.40625,3.1622776601683795,1.0,2.316666666666667
25,0.60546875,3.1622776601683795,1.0,2.2666666666666666
26,0.75,3.1622776601683795,1.0,2.3583333333333334
27,0.84375,3.1622776601683795,1.0,2.525
28,0.9609375,3.1622776601683795,1.0,2.283333333333333
29,0.92578125,3.1622776601683795,1.0,2.25
