epoch,train_loss,train_acc1,train_acc2,valid_xe_loss,valid_acc1,valid_acc2
0,2.7134999376951083,9.119081893793986,13.066318777991043,1.625042216687263,11.481408227848101,17.227056962025316
1,1.6178748429927472,14.646313179782469,20.260516634676904,1.6195691310906712,14.51740506329114,20.005933544303797
2,1.6076570508271093,17.46791026871401,23.300043985924503,1.6165009284321266,17.138053797468356,22.280458860759495
3,1.5659883732377757,22.446817018554064,28.17348448496481,1.5373773031596896,24.930775316455698,28.90625
4,1.50691112820643,28.068018234165066,33.42830294305822,1.5268045316768597,27.09651898734177,30.01384493670886
5,1.4949688940420414,28.927743122200894,34.655410268714014,1.5065300796605363,26.602056962025316,31.7939082278481
6,1.485879004726178,29.56204014715291,35.85902511196417,1.517042576512204,26.127373417721518,31.151107594936708
7,1.4805025826336402,30.150351887396035,36.81821817018554,1.5141361740571033,25.801028481012658,32.13014240506329
8,1.4758889242692095,30.39377399232246,37.28856765834933,1.5102952945081494,28.223892405063292,33.38607594936709
9,1.4708982423109955,30.72166906589891,37.83539267434421,1.5422918826718874,25.67246835443038,30.567642405063292
10,1.465364600936343,31.38145793346129,38.82907469609725,1.5092887561532515,28.599683544303797,33.78164556962025
11,1.4594162524089704,31.932781509916826,39.68630038387716,1.520369814921029,26.987737341772153,31.546677215189874
12,1.452328253844878,32.42462412028151,40.4510556621881,1.527616227729411,27.521756329113924,32.545490506329116
13,1.44261624587322,32.954954414587334,41.51171625079974,1.523133890538276,26.819620253164558,32.674050632911396
14,1.4309537493107187,33.70121561100448,42.93226167626359,1.5408162663254557,26.869066455696203,31.764240506329113
15,1.4154187887048997,34.678902751119644,44.6287188099808,1.5475723592540886,26.928401898734176,31.90268987341772
16,1.3960120680236083,35.766054862444015,46.83701215611004,1.5556925067418739,26.11748417721519,31.428006329113924
17,1.375706661914452,36.39285428662828,48.67892274472169,1.5653583762011951,27.264636075949365,32.09058544303797
18,1.3485986057642707,38.125799744081895,51.475027991042865,1.5906904030449782,24.821993670886076,29.984177215189874
19,1.3213862439263577,39.05700175943698,53.67882277671145,1.6051940480365028,27.076740506329113,31.57634493670886
20,1.2888847040352116,40.54102687140115,56.22150911708253,1.623706963997853,26.087816455696203,31.13132911392405
21,1.2527439922227817,41.96707053742802,59.021113243761995,1.6462300985674314,25.682357594936708,31.071993670886076
22,1.215287343554213,43.62404030710173,61.790227127319255,1.6704118976110145,25.99881329113924,31.57634493670886
23,1.1737900197467817,45.256517914267434,64.58483285348689,1.7036988871007026,25.385680379746834,30.2314082278481
24,1.1306164039683815,46.981965770953295,67.41742642354447,1.752883194368097,24.248417721518987,29.598496835443036
25,1.0835681082496107,48.70041586692258,69.96611084452975,1.803506928154185,25.435126582278482,30.992879746835442
26,1.0360250578655772,50.699276231605886,72.70423464491363,1.8527409456953217,24.89121835443038,31.081882911392405
27,0.9875818885295573,52.547684740882914,75.12396033269354,1.878047089033489,24.980221518987342,30.537974683544302
28,0.9401805735671666,54.184161068458096,77.60866522712732,1.9467024652263787,24.485759493670887,29.074367088607595
29,0.8916700515927066,56.05056381957773,79.72148912348048,2.006956981707223,23.783623417721518,28.510680379746834
30,0.8461060282212377,57.88897552783109,81.7293466090851,2.0488467744634122,25.65268987341772,30.46875
31,0.7997391096918688,59.91032869481766,84.00161948176583,2.11270974557611,23.951740506329113,28.68868670886076
32,0.754468506791999,61.715251119641714,85.66408749200257,2.1828245045263555,23.813291139240505,29.054588607594937
33,0.7103985705897355,63.922544785668585,87.38153790786949,2.247387828706186,25.385680379746834,31.269778481012658
34,0.6663232011361833,65.84992802303263,88.85106765834932,2.2878300389157067,24.238528481012658,30.330300632911392
35,0.6269602751548826,67.55488243761997,90.29610524632118,2.3432524566408954,24.78243670886076,30.092958860759495
36,0.5878765683332774,69.56973768394114,91.57319657709533,2.4091688500174993,24.742879746835442,30.518196202531644
37,0.5529884613635673,71.38715611004478,92.5963691618682,2.4821227502219285,21.954113924050635,28.11511075949367
