epoch,train_loss,train_acc1,train_acc2,valid_xe_loss,valid_acc1,valid_acc2
0,6.5844233263829715,0.0,0.0,5.883406717565995,0.0,0.0
1,4.814655877981975,0.0,0.0,3.5679626434664184,0.0,0.0
2,2.660650183440773,0.960390127388535,4.767117834394904,2.0092795393134972,19.956487341772153,26.374604430379748
3,1.8391028513574297,19.944267515923567,25.12937898089172,1.7197615964503228,19.303797468354432,25.761471518987342
4,1.6826746987689072,21.138535031847134,26.184315286624205,1.638028626200519,22.08267405063291,27.8876582278481
5,1.6242135823911923,20.924562101910826,26.273885350318473,1.6043128740938404,17.85007911392405,24.43631329113924
6,1.6040438216203337,20.556329617834393,25.90565286624204,1.5877374154102952,22.280458860759495,28.065664556962027
7,1.590121775675731,20.521496815286625,25.58718152866242,1.578258043603052,18.41376582278481,25.138449367088608
8,1.5795734338699632,20.974323248407643,26.49781050955414,1.5737248689313479,22.399129746835442,28.085443037974684
9,1.5760002812002873,21.820262738853504,26.930732484076433,1.5698144481151919,19.86748417721519,26.11748417721519
10,1.5706769068529651,21.491839171974522,26.905851910828027,1.5612040712863584,23.269382911392405,29.183148734177216
11,1.5602048513995614,22.69605891719745,28.22452229299363,1.551136825658098,21.647547468354432,27.956882911392405
